Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10pF,
C10,0603,1,4.7uF,
"C11, C3, C4, C7, C8, C9",0603,6,100nF,
"C5, C6",0603,2,10uF,
"D1, D2",0603,2,LED,
J1,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
J13,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J14, J20, J26, J27, J28",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02_Pin,
"J16, J17, J18, J19",MountingHole_3.2mm_M3_Pad,4,G,
"R1, R6",0603,2,330R,
"R2, R3",0603,2,10kR,
"R4, R5",0603,2,4.7kR,
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,
"U10, U11, U12, U13, U14, U15, U16, U5, U6, U7, U8, U9",Vishay_MINICAST-3Pin,12,TSSP4038,
U17,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U2, U4",SO-14_3.9x8.65mm_P1.27mm,2,HEF4082BT,
U3,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G431CBUx,
Y1,Crystal_HC49-4H_Vertical,1,Crystal,
