Designator,Mid X,Mid Y,Rotation,Layer
C1,105.756,-83.052,270.0,top
C10,108.36,-108.89,90.0,top
C11,103.06,-108.865,90.0,top
C2,91.03,-81.2,270.0,top
C3,96.05,-97.68,0.0,top
C4,101.36,-91.435,270.0,top
C5,99.22,-119.39,0.0,top
C6,100.05,-130.3,180.0,top
C7,116.856,-73.652,270.0,top
C8,106.35,-108.88,90.0,top
C9,112.76,-98.16,180.0,top
D1,114.2675,-125.33,0.0,top
D2,88.7725,-93.09,0.0,top
J1,94.49,-114.19,0.0,top
J13,131.73,-109.73,180.0,top
J14,123.13,-109.83,90.0,top
J20,123.115,-105.78,90.0,top
J26,123.065,-101.58,90.0,top
J27,127.59,-93.74,180.0,top
J28,104.995,-122.49,90.0,top
R1,114.23,-128.23,0.0,top
R2,116.91,-79.31,90.0,top
R3,91.09,-75.17,0.0,top
R4,123.55,-93.67,0.0,top
R5,123.575,-91.16,180.0,top
R6,91.95,-93.09,180.0,top
SW1,113.196,-79.152,180.0,top
SW2,101.446,-79.152,180.0,top
U10,121.59,-130.7109,330.0,bottom
U11,104.09,-135.4,0.0,bottom
U12,86.59,-130.7109,30.0,bottom
U13,73.7791,-117.9,60.0,bottom
U14,69.09,-100.4,90.0,bottom
U15,73.7791,-82.9,120.0,bottom
U16,86.59,-70.0891,150.0,bottom
U17,96.84,-124.8,180.0,top
U2,79.97,-106.43,0.0,top
U3,104.09,-100.45,0.0,top
U4,79.87,-93.93,0.0,top
U5,104.09,-65.4,180.0,bottom
U6,121.59,-70.0891,210.0,bottom
U7,134.4009,-82.9,240.0,bottom
U8,139.09,-100.4,270.0,bottom
U9,134.4009,-117.9,300.0,bottom
Y1,98.89,-85.94,180.0,top
