Designator,Mid X,Mid Y,Rotation,Layer
J1,92.75,-54.5,0.0,bottom
J10,54.25,-93.5,90.0,bottom
J11,59.5,-74.0,60.0,bottom
J12,73.25,-58.75,30.0,bottom
J13,82.5,-111.5,0.0,top
J14,102.0,-122.75,180.0,top
J15,70.25,-71.975,0.0,top
J2,113.5,-59.25,-30.0,bottom
J20,105.75,-122.75,180.0,top
J21,62.23,-84.328,0.0,top
J22,73.66,-109.982,0.0,top
J23,69.342,-109.982,0.0,top
J24,57.658,-101.346,0.0,top
J3,126.5,-73.75,-60.0,bottom
J4,132.75,-93.5,-90.0,bottom
J5,128.0,-113.5,-120.0,bottom
J6,112.75,-127.25,-150.0,bottom
J7,93.0,-133.25,0.0,bottom
J8,73.5,-127.25,150.0,bottom
J9,58.25,-113.25,120.0,bottom
U1,79.952,-68.388,0.0,top
U10,117.6872,-131.3423,-150.0,bottom
U11,93.0,-139.5,180.0,bottom
U12,72.7122,-133.6323,150.0,bottom
U13,53.25,-116.5,120.0,bottom
U14,48.025,-96.04,90.0,bottom
U15,52.8677,-73.2122,60.0,bottom
U16,70.0,-53.75,30.0,bottom
U2,69.75,-93.0,0.0,top
U4,121.5,-92.75,0.0,top
U5,90.46,-48.525,0.0,bottom
U6,115.9649,-53.75,-30.0,bottom
U7,130.5923,-68.8128,-60.0,bottom
U8,139.0,-93.5,-90.0,bottom
U9,132.8811,-116.5,-120.0,bottom
